variant,f1_in_domain,f1_out_of_domain
qwen3-235b-a22b-2507-v1 / default / 0.60,0.75,0.868421052631579
qwen3-235b-a22b-2507-v1 / default / 0.80,0.75,0.868421052631579
qwen3-235b-a22b-2507-v1 / default / 1.00,0.0,0.7526881720430108
qwen3-235b-a22b-2507-v1 / lenient / 0.60,0.7857142857142857,0.8
qwen3-235b-a22b-2507-v1 / lenient / 0.80,0.7777777777777778,0.8064516129032258
qwen3-235b-a22b-2507-v1 / lenient / 1.00,0.0,0.7391304347826086
qwen3-235b-a22b-2507-v1 / two_stage / 0.60,0.7619047619047619,0.8648648648648649
qwen3-235b-a22b-2507-v1 / two_stage / 0.80,0.7619047619047619,0.8648648648648649
qwen3-235b-a22b-2507-v1 / two_stage / 1.00,0.0,0.7391304347826086
qwen3-235b-a22b-2507-v1 / category / 0.60,0.6551724137931034,0.6551724137931034
qwen3-235b-a22b-2507-v1 / category / 0.80,0.6551724137931034,0.6551724137931034
qwen3-235b-a22b-2507-v1 / category / 1.00,0.06666666666666667,0.6744186046511628
pixtral-large-2502-v1 / default / 0.60,0.0,0.7659574468085106
pixtral-large-2502-v1 / default / 0.80,0.0,0.7659574468085106
pixtral-large-2502-v1 / default / 1.00,0.0,0.7659574468085106
pixtral-large-2502-v1 / lenient / 0.60,0.0,0.7659574468085106
pixtral-large-2502-v1 / lenient / 0.80,0.0,0.7659574468085106
pixtral-large-2502-v1 / lenient / 1.00,0.0,0.7659574468085106
pixtral-large-2502-v1 / two_stage / 0.60,0.0,0.7659574468085106
pixtral-large-2502-v1 / two_stage / 0.80,0.0,0.7659574468085106
pixtral-large-2502-v1 / two_stage / 1.00,0.0,0.7659574468085106
pixtral-large-2502-v1 / category / 0.60,0.0,0.7526881720430108
pixtral-large-2502-v1 / category / 0.80,0.0,0.7526881720430108
pixtral-large-2502-v1 / category / 1.00,0.0,0.7526881720430108
nova-pro-v1 / default / 0.60,0.6666666666666666,0.8311688311688312
nova-pro-v1 / default / 0.80,0.6666666666666666,0.8311688311688312
nova-pro-v1 / default / 1.00,0.0,0.7391304347826086
nova-pro-v1 / lenient / 0.60,0.8,0.819672131147541
nova-pro-v1 / lenient / 0.80,0.7450980392156863,0.8
nova-pro-v1 / lenient / 1.00,0.0,0.7659574468085106
nova-pro-v1 / two_stage / 0.60,0.5333333333333333,0.8372093023255814
nova-pro-v1 / two_stage / 0.80,0.5333333333333333,0.8372093023255814
nova-pro-v1 / two_stage / 1.00,0.0,0.7659574468085106
nova-pro-v1 / category / 0.60,0.08333333333333333,0.7608695652173914
nova-pro-v1 / category / 0.80,0.08333333333333333,0.7608695652173914
nova-pro-v1 / category / 1.00,0.0,0.7659574468085106
nova-lite-v1 / default / 0.60,0.0,0.7659574468085106
nova-lite-v1 / default / 0.80,0.0,0.7659574468085106
nova-lite-v1 / default / 1.00,0.0,0.7659574468085106
nova-lite-v1 / lenient / 0.60,0.0,0.7659574468085106
nova-lite-v1 / lenient / 0.80,0.0,0.7659574468085106
nova-lite-v1 / lenient / 1.00,0.0,0.7659574468085106
nova-lite-v1 / two_stage / 0.60,0.0,0.7659574468085106
nova-lite-v1 / two_stage / 0.80,0.0,0.7659574468085106
nova-lite-v1 / two_stage / 1.00,0.0,0.7659574468085106
nova-lite-v1 / category / 0.60,0.0,0.7659574468085106
nova-lite-v1 / category / 0.80,0.0,0.7659574468085106
nova-lite-v1 / category / 1.00,0.0,0.7659574468085106
gpt-oss-120b-1 / default / 0.60,0.4931506849315068,0.13953488372093023
gpt-oss-120b-1 / default / 0.80,0.4722222222222222,0.13636363636363635
gpt-oss-120b-1 / default / 1.00,0.0,0.7252747252747253
gpt-oss-120b-1 / lenient / 0.60,0.6349206349206349,0.5660377358490566
gpt-oss-120b-1 / lenient / 0.80,0.4897959183673469,0.6268656716417911
gpt-oss-120b-1 / lenient / 1.00,0.0,0.7526881720430108
gpt-oss-120b-1 / two_stage / 0.60,0.5675675675675675,0.23809523809523808
gpt-oss-120b-1 / two_stage / 0.80,0.5675675675675675,0.23809523809523808
gpt-oss-120b-1 / two_stage / 1.00,0.0,0.7391304347826086
gpt-oss-120b-1 / category / 0.60,0.5454545454545454,0.10256410256410256
gpt-oss-120b-1 / category / 0.80,0.5454545454545454,0.10256410256410256
gpt-oss-120b-1 / category / 1.00,0.0,0.7526881720430108
