variant,f1_in_domain,f1_out_of_domain
gpt-oss-120b-1 / default / 0.60,0.4931506849315068,0.13953488372093023
gpt-oss-120b-1 / default / 0.80,0.4722222222222222,0.13636363636363635
gpt-oss-120b-1 / default / 1.00,0.0,0.7252747252747253
gpt-oss-120b-1 / lenient / 0.60,0.6349206349206349,0.5660377358490566
gpt-oss-120b-1 / lenient / 0.80,0.4897959183673469,0.6268656716417911
gpt-oss-120b-1 / lenient / 1.00,0.0,0.7526881720430108
gpt-oss-120b-1 / two_stage / 0.60,0.5675675675675675,0.23809523809523808
gpt-oss-120b-1 / two_stage / 0.80,0.5675675675675675,0.23809523809523808
gpt-oss-120b-1 / two_stage / 1.00,0.0,0.7391304347826086
gpt-oss-120b-1 / category / 0.60,0.5454545454545454,0.10256410256410256
gpt-oss-120b-1 / category / 0.80,0.5454545454545454,0.10256410256410256
gpt-oss-120b-1 / category / 1.00,0.0,0.7526881720430108
