variant,f1_in_domain,f1_out_of_domain
nova-pro-v1 / default / 0.60,0.6666666666666666,0.8311688311688312
nova-pro-v1 / default / 0.80,0.6666666666666666,0.8311688311688312
nova-pro-v1 / default / 1.00,0.0,0.7391304347826086
nova-pro-v1 / lenient / 0.60,0.8,0.819672131147541
nova-pro-v1 / lenient / 0.80,0.7450980392156863,0.8
nova-pro-v1 / lenient / 1.00,0.0,0.7659574468085106
nova-pro-v1 / two_stage / 0.60,0.5333333333333333,0.8372093023255814
nova-pro-v1 / two_stage / 0.80,0.5333333333333333,0.8372093023255814
nova-pro-v1 / two_stage / 1.00,0.0,0.7659574468085106
nova-pro-v1 / category / 0.60,0.08333333333333333,0.7608695652173914
nova-pro-v1 / category / 0.80,0.08333333333333333,0.7608695652173914
nova-pro-v1 / category / 1.00,0.0,0.7659574468085106
