variant,f1_in_domain,f1_out_of_domain
pixtral-large-2502-v1 / default / 0.60,0.0,0.7659574468085106
pixtral-large-2502-v1 / default / 0.80,0.0,0.7659574468085106
pixtral-large-2502-v1 / default / 1.00,0.0,0.7659574468085106
pixtral-large-2502-v1 / lenient / 0.60,0.0,0.7659574468085106
pixtral-large-2502-v1 / lenient / 0.80,0.0,0.7659574468085106
pixtral-large-2502-v1 / lenient / 1.00,0.0,0.7659574468085106
pixtral-large-2502-v1 / two_stage / 0.60,0.0,0.7659574468085106
pixtral-large-2502-v1 / two_stage / 0.80,0.0,0.7659574468085106
pixtral-large-2502-v1 / two_stage / 1.00,0.0,0.7659574468085106
pixtral-large-2502-v1 / category / 0.60,0.0,0.7526881720430108
pixtral-large-2502-v1 / category / 0.80,0.0,0.7526881720430108
pixtral-large-2502-v1 / category / 1.00,0.0,0.7526881720430108
