variant,f1_in_domain,f1_out_of_domain
qwen3-235b-a22b-2507-v1 / default / 0.60,0.75,0.868421052631579
qwen3-235b-a22b-2507-v1 / default / 0.80,0.75,0.868421052631579
qwen3-235b-a22b-2507-v1 / default / 1.00,0.0,0.7526881720430108
qwen3-235b-a22b-2507-v1 / lenient / 0.60,0.7857142857142857,0.8
qwen3-235b-a22b-2507-v1 / lenient / 0.80,0.7777777777777778,0.8064516129032258
qwen3-235b-a22b-2507-v1 / lenient / 1.00,0.0,0.7391304347826086
qwen3-235b-a22b-2507-v1 / two_stage / 0.60,0.7619047619047619,0.8648648648648649
qwen3-235b-a22b-2507-v1 / two_stage / 0.80,0.7619047619047619,0.8648648648648649
qwen3-235b-a22b-2507-v1 / two_stage / 1.00,0.0,0.7391304347826086
qwen3-235b-a22b-2507-v1 / category / 0.60,0.6551724137931034,0.6551724137931034
qwen3-235b-a22b-2507-v1 / category / 0.80,0.6551724137931034,0.6551724137931034
qwen3-235b-a22b-2507-v1 / category / 1.00,0.06666666666666667,0.6744186046511628
